name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
berkeley.in, safe,  2.606,  0.807,  1.184,  1.956,  0.437,  0.015,  0.316,  24,  {0: 1; 1: 1; 2: 1; 3: 3},  {0: 9; 1: 21; 2: 21},  1,  3,  8,  0,  4 

dijkstra.in, safe,  1145.510,  562.075,  466.784,  660.843,  468.337,  0.036,  105.756,  431,  {0: 1; 1: 2; 2: 2; 3: 10; 4: 4; 5: 13; 6: 18; 7: 22; 8: 4},  {0: 42; 1: 42; 2: 42; 3: 42; 4: 25; 5: 25; 6: 25; 7: 25},  1,  5,  11,  0,  10 

converging_unsafe_3_a1_b0-src_a1-dst_b0.in, unsafe,  20.160,  4.118,  1.342,  18.299,  1.545,  0.139,  13.492,  28,  {0: 1; 1: 1; 2: 5; 3: 2},  {0: 24; 1: 15},  0,  7,  0,  0,  0 

converging_safe_3_a1_b0-src_a1-dst_b0.in, safe,  5.484,  1.550,  0.484,  4.250,  1.062,  0.000,  2.808,  24,  {0: 1; 1: 2; 2: 2; 3: 3},  {0: 24; 1: 15; 2: 7},  0,  7,  7,  0,  4 

messenger_unsafe_3_a0_a3-src_a0-dst_a3.in, unsafe,  2722.409,  1775.137,  72.867,  1060.189,  1610.539,  17.283,  692.117,  2053,  {0: 1; 1: 5; 2: 12; 3: 8; 4: 13; 5: 21; 6: 27; 7: 64; 8: 38; 9: 38; 10: 5; 11: 9; 12: 22; 13: 44; 14: 32; 15: 25},  {0: 51; 1: 51; 2: 39; 3: 39; 4: 39; 5: 39; 6: 39; 7: 28; 8: 28; 9: 28; 10: 28; 11: 18; 12: 18; 13: 18; 14: 18},  0,  18,  0,  0,  0 

crash.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_buggy.in, safe,  7201.888,  1900.008,  4596.782,  6051.422,  1053.595,  0.000,  689.117,  408,  {0: 1; 1: 1; 2: 2; 3: 15; 4: 10; 5: 13; 6: 57; 7: 21},  {0: 41; 1: 25; 2: 25; 3: 25; 4: 25; 5: 25; 6: 25},  0,  12,  12,  0,  12 

german_ca.in, safe,  3.592,  1.304,  0.536,  1.755,  1.504,  0.020,  0.071,  155,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 8; 5: 2; 6: 12; 7: 5},  {0: 9; 1: 9; 2: 16; 3: 16; 4: 16; 5: 16; 6: 16},  1,  9,  16,  0,  12 

alternating.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

szymanski_at.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sendOmission.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bakery_bogus.in, unsafe,  5941.404,  1056.948,  4187.563,  5504.425,  287.137,  0.094,  666.972,  581,  {0: 1; 1: 4; 2: 3; 3: 16; 4: 24; 5: 43; 6: 112},  {0: 27; 1: 27; 2: 27; 3: 27; 4: 27; 5: 27},  1,  6,  0,  0,  0 

arp_safe_0.in, safe,  107.568,  48.611,  51.684,  59.317,  43.579,  0.022,  2.685,  200,  {0: 1; 1: 3; 2: 21; 3: 11; 4: 2},  {0: 18; 1: 18; 2: 18; 3: 18},  1,  11,  18,  0,  14 

mux-sem.in, safe,  3.102,  0.929,  1.125,  1.969,  0.955,  0.011,  0.131,  97,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 9; 5: 4},  {0: 5; 1: 11; 2: 11; 3: 11; 4: 11},  1,  5,  11,  0,  9 

network_safe_1_d_e-src_d-dst_e.in, safe,  144.975,  49.672,  75.142,  108.268,  35.689,  0.000,  16.653,  111,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 8; 5: 8; 6: 5},  {0: 33; 1: 33; 2: 33; 3: 33; 4: 20; 5: 10},  0,  10,  10,  0,  11 

converging_safe_6_a3_b0-src_a3-dst_b0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

